commande_id,date,client_id,montant,canal
C0001,2026-01-09,901,241.62,app
C0002,2026-01-13,904,28.48,web
C0003,2026-01-05,15,88.37,app
C0004,2026-01-22,13,33.94,tel
C0005,2026-01-23,1,299.36,tel
C0006,2026-01-27,13,141.53,app
C0007,2026-01-05,10,323.76,web
C0008,2026-01-12,13,298.6,tel
C0009,2026-01-09,14,298.98,web
C0010,2026-01-20,900,238.31,tel
C0011,2026-01-12,5,397.95,tel
C0012,2026-01-04,2,153.96,web
C0013,2026-01-25,1,399.58,web
C0014,2026-01-06,8,62.16,tel
C0015,2026-01-10,1,253.56,tel
C0016,2026-01-09,901,17.59,web
C0017,2026-01-28,11,276.12,web
C0018,2026-01-17,5,389.83,tel
C0019,2026-01-10,13,202.75,app
C0020,2026-01-15,7,131.33,web
C0021,2026-01-22,3,378.24,web
C0022,2026-01-12,907,167.44,app
C0023,2026-01-18,902,122.26,tel
C0024,2026-01-08,4,28.35,tel
C0025,2026-01-14,9,119.61,tel
C0026,2026-01-08,907,111.28,tel
C0027,2026-01-11,2,137.86,app
C0028,2026-01-13,900,45.4,tel
C0029,2026-01-19,13,169.96,tel
C0030,2026-01-08,11,210.43,web
C0031,2026-01-01,3,298.28,app
C0032,2026-01-20,9,283.42,web
C0033,2026-01-04,9,21.02,web
C0034,2026-01-10,9,34.7,app
C0035,2026-01-23,902,276.36,web
C0036,2026-01-21,10,375.78,tel
C0037,2026-01-07,1,28.16,web
C0038,2026-01-18,3,43.98,web
C0039,2026-01-14,15,317.83,tel
C0040,2026-01-12,15,160.47,web
C0041,2026-01-25,3,130.33,app
C0042,2026-01-06,3,269.09,app
C0043,2026-01-16,8,366.75,app
C0044,2026-01-15,5,280.16,app
C0045,2026-01-26,8,191.18,tel
C0046,2026-01-08,4,111.93,app
C0047,2026-01-02,13,82.05,app
C0048,2026-01-09,7,132.87,tel
C0049,2026-01-08,7,52.47,tel
C0050,2026-01-07,3,312.78,tel
C0051,2026-01-11,11,288.53,app
C0052,2026-01-02,1,235.54,app
C0053,2026-01-11,4,306.87,tel
C0054,2026-01-26,905,80.07,tel
C0055,2026-01-13,12,43.11,web
C0056,2026-01-08,5,38.85,tel
C0057,2026-01-02,901,385.67,web
C0058,2026-01-21,908,145.73,app
C0059,2026-01-08,908,142.78,tel
C0060,2026-01-13,1,32.12,web
