region,categorie,trimestre,montant
Nord,Accessoires,T1,127.92
Nord,Mobilier,T2,286.93
Nord,Bureautique,T4,54.53
Nord,Informatique,T2,462.94
Sud,Mobilier,T4,381.05
Nord,Mobilier,T3,432.24
Sud,Bureautique,T1,67.6
Ouest,Accessoires,T4,137.04
Ouest,Bureautique,T2,107.74
Est,Bureautique,T3,73.1
Est,Informatique,T4,891.75
Sud,Accessoires,T2,119.19
Est,Mobilier,T2,321.14
Sud,Mobilier,T1,303.46
Nord,Accessoires,T4,84.28
Est,Bureautique,T3,87.7
Sud,Accessoires,T1,148.82
Sud,Bureautique,T1,118.63
Ouest,Bureautique,T3,56.71
Sud,Informatique,T2,581.54
Sud,Mobilier,T4,361.59
Ouest,Bureautique,T1,54.53
Ouest,Informatique,T4,787.51
Ouest,Bureautique,T4,97.34
Ouest,Accessoires,T4,94.42
Ouest,Accessoires,T3,111.33
Est,Bureautique,T1,78.43
Est,Bureautique,T2,90.11
Nord,Accessoires,T1,92.31
Nord,Bureautique,T1,111.65
Nord,Informatique,T1,699.78
Est,Bureautique,T1,93.17
Ouest,Accessoires,T2,72.55
Nord,Accessoires,T1,121.53
Sud,Informatique,T4,798.25
Ouest,Bureautique,T3,58.17
Nord,Accessoires,T3,112.15
Ouest,Accessoires,T3,115.96
Ouest,Informatique,T4,771.49
Sud,Mobilier,T4,397.61
Sud,Accessoires,T4,89.51
Ouest,Informatique,T3,754.63
Ouest,Bureautique,T2,76.89
Est,Bureautique,T2,82.83
Est,Informatique,T2,366.65
Ouest,Informatique,T3,492.2
Nord,Informatique,T4,504.12
Nord,Accessoires,T2,146.95
Est,Informatique,T1,745.38
Ouest,Accessoires,T2,142.17
Est,Accessoires,T4,131.37
Nord,Informatique,T3,703.49
Est,Accessoires,T2,85.45
Ouest,Informatique,T4,804.18
Sud,Bureautique,T3,84.69
Est,Bureautique,T4,89.09
Sud,Mobilier,T2,257.0
Sud,Bureautique,T2,113.83
Ouest,Informatique,T1,420.31
Est,Mobilier,T1,205.95
Ouest,Accessoires,T1,114.24
Est,Informatique,T4,601.36
Sud,Mobilier,T2,422.3
Nord,Mobilier,T1,356.21
Est,Accessoires,T2,162.74
Nord,Mobilier,T2,440.05
Nord,Bureautique,T4,109.28
