vente_id,date,produit_id,quantite,canal
W0001,2026-02-15,P12,11,web
W0002,2026-02-23,P07,15,revendeur
W0003,2026-02-14,P07,9,web
W0004,2026-02-21,P02,17,boutique
W0005,2026-02-06,P12,20,web
W0006,2026-02-02,P99,16,web
W0007,2026-02-26,P98,20,web
W0008,2026-02-10,P06,6,revendeur
W0009,2026-02-15,P11,19,web
W0010,2026-02-07,P07,4,revendeur
W0011,2026-02-12,P99,20,revendeur
W0012,2026-02-05,P11,12,web
W0013,2026-02-20,P05,4,boutique
W0014,2026-02-15,P99,15,boutique
W0015,2026-02-23,P05,10,boutique
W0016,2026-02-19,P01,7,boutique
W0017,2026-02-23,P11,18,revendeur
W0018,2026-02-06,P07,10,web
W0019,2026-02-21,P06,9,web
W0020,2026-02-01,P12,1,boutique
W0021,2026-02-05,P06,14,revendeur
W0022,2026-02-15,P02,2,revendeur
W0023,2026-02-19,P03,11,boutique
W0024,2026-02-08,P10,19,revendeur
W0025,2026-02-25,P10,16,boutique
W0026,2026-02-10,P11,10,revendeur
W0027,2026-02-24,P12,1,revendeur
W0028,2026-02-26,P98,9,web
W0029,2026-02-05,P11,18,revendeur
W0030,2026-02-14,P10,5,boutique
W0031,2026-02-14,P09,2,web
W0032,2026-02-22,P12,1,web
W0033,2026-02-08,P08,1,revendeur
W0034,2026-02-20,P04,12,boutique
W0035,2026-02-17,P11,20,boutique
